,year,total,open,closed,publisher,other_platform,publisher_only,both,other_platform_only
0,2011,3595801,1008811,2586990,697877,642164,366647,331230,584248
1,2012,3675424,1174634,2500790,844642,740409,434225,410417,667855
2,2013,3999345,1314011,2685334,957474,828231,485780,471694,746075
3,2014,4166265,1464549,2701716,1100949,913683,550866,550083,812887
4,2015,4328678,1677567,2651111,1318648,969937,707630,611018,840679
5,2016,4710669,1926445,2784224,1535841,1069956,856489,679352,916844
6,2017,5122293,2153788,2968505,1741257,1170460,983328,757929,1005026
7,2018,5467145,2383609,3083536,1960011,1229626,1153983,806028,1052277
8,2019,5970468,2668269,3302199,2290799,1128093,1540176,750623,969020
9,2020,4813267,2139034,2674233,1852793,760724,1378310,474483,667201
